seed,run_id,mae,rmse,r2
47,00,24.436299632647835,32.02919698498173,-0.26018782760102743
47,01,16.01101222823256,32.833894287324426,0.40057250147125456
47,02,15.523405734950774,34.92522372303956,0.4142997482147275
47,03,14.526471470325578,35.4558699673026,0.42098138502536686
47,04,8.643039787172883,34.5099393229298,0.675198647384159
47,05,8.408299806885674,34.89470648090243,0.6912266207498994
47,06,8.06466381634375,35.129316500098994,0.6677575159008549
47,07,7.769776466933551,35.53281900795094,0.7197762274927209
47,08,6.514072221762121,35.965452156400474,0.7564852975480466
47,09,6.414441289572748,36.083814411964134,0.7451505224066659
47,10,5.590742856406071,37.54909291948579,0.7773257785590499
47,11,5.8330291819450375,36.363935299763845,0.7696461101571825
47,12,5.32717448326261,37.22287551509073,0.77879990784396
47,13,6.812689741156158,35.492897947264325,0.7371534902073763
47,14,6.393867546444464,36.77969695452983,0.7585529331600122
47,15,5.551343292710087,37.129931762820455,0.7741357704539796
47,16,5.529898712160055,36.81993320972295,0.7723530439077093
47,17,6.6578662123231,35.67775090844468,0.7385397622160352
47,18,6.012584800200868,36.076435002616535,0.7600104431751469
47,19,6.564321104785184,35.85936264578278,0.7452557805935129
47,20,5.757462040421004,36.40090143709709,0.7684581382791633
49,00,14.928144639206385,31.846589282316177,0.46456372802963364
49,01,9.474876357024153,33.479850776446796,0.7988090343784031
49,02,16.74802889467013,33.56768285743027,0.2920613387643095
49,03,7.960109404536091,34.712942396000976,0.8379075901555603
49,04,4.936495280175735,36.00357597691725,0.922613464540513
49,05,4.338591421196245,36.215344312461774,0.9336667578707731
49,06,4.079570859521893,34.973052902886046,0.9270369014822774
49,07,4.130226606129825,36.1762178653212,0.9375613657236237
49,08,4.76110732780215,35.30142924860805,0.9183678673111244
49,09,4.122452501256609,35.849684942656445,0.9334877462047079
49,10,3.799826660055455,35.31412049090399,0.9365252918287842
49,11,4.293654551305679,35.135996370666255,0.9269615518869074
49,12,4.0178130571635196,34.87552065294183,0.9277489676828159
49,13,3.8708793134354345,35.44118602695894,0.9322853035626214
49,14,3.8711401062710116,35.22800287795013,0.9322677272573678
49,15,3.975034582364327,35.2881449054263,0.9281822054841499
49,16,3.978384081043382,34.99872082084003,0.9248798051758522
49,17,4.097665501536397,34.39575228674881,0.9194804507707423
49,18,3.7275398231794314,35.17271615000491,0.9350841647809842
49,19,4.252873207228354,35.92989903741754,0.9201118753489077
49,20,3.831237189059509,34.61586030364053,0.9249968312690072
50,00,15.919445369203935,33.758558277642884,0.4336055548070895
50,01,12.527083063044172,33.4770833881383,0.6740840236714065
50,02,7.294990980091336,36.55385943955116,0.8796769715684134
50,03,5.9941278347785225,36.858613119568055,0.9169574684350148
50,04,6.406473354963518,37.25705636965486,0.9089515802278572
50,05,5.948360476631081,35.03643373335449,0.8945650268402405
50,06,5.2391334470052975,36.17715469913001,0.9244247085472553
50,07,5.724954013864939,35.074499405312054,0.899165674955521
50,08,6.10252441294243,34.76615611923562,0.8821695276213027
50,09,5.701517825397282,34.86633133423039,0.8890249325356048
50,10,4.958326284032624,35.38318114711518,0.9219508838810611
50,11,5.636657121781407,35.10170973253082,0.8984624539275554
50,12,5.472386788366158,34.876934311367265,0.9004953640849095
50,13,5.343264150280597,35.48039687210818,0.91351338955378
50,14,5.422308379471307,34.63012941279761,0.8947887777689346
50,15,4.807477145652941,35.44037935776032,0.9172320796527234
50,16,5.160012248047954,34.90015532332092,0.9089589606876781
50,17,4.342453821239686,36.00199665455061,0.9326394177763374
50,18,4.866445081294011,35.60393607973169,0.9212786198680949
50,19,4.354290011268026,36.03210335090194,0.9375386348803356
50,20,4.275478432471033,35.87297990620384,0.9364165168213276
51,00,20.827204647601206,29.016218372832096,0.011801126060074552
51,01,10.969734904347883,32.10739045302053,0.6907177363677317
51,02,8.494010913655814,33.578137374167525,0.8071901895761313
51,03,7.980445458814156,33.078931351277774,0.8335387682060419
51,04,6.673173035136522,35.68260199048169,0.8828135951897618
51,05,5.728715431467652,34.15743372695411,0.8888513167070258
51,06,5.311422691786739,34.83387684588492,0.9111971076335958
51,07,5.702917162003872,33.93138329609364,0.8885812413931892
51,08,5.420496448898507,34.31892866580622,0.9031491095206273
51,09,5.18756160844567,34.021118210156935,0.899550097909885
51,10,5.117847877569117,33.991179423357515,0.9091109659180581
51,11,5.4677880322833605,34.33451505003176,0.9064911061248749
51,12,5.278684138571501,33.81267520768365,0.8904875740861944
51,13,5.416385483835499,33.99145049271037,0.9049011388140062
51,14,5.0178015781470044,33.66098485901263,0.901213003381216
51,15,4.67963129310429,34.25514571004027,0.9153958538978174
51,16,4.933148569477444,33.82145527800986,0.910053012704227
51,17,4.6652675422821135,34.57893644599565,0.9240774716658073
51,18,4.7578325058222175,34.34677322374951,0.9109285900359838
51,19,4.87894654326783,34.46075376432602,0.9186662772194254
51,20,4.44833283095798,34.337306497378954,0.9231777249988081
